Day,Time,Title,Speaker,URL,Room,Topic
Thursday,09:00,OpenInfra Days North America Keynotes,"Allison Price, Gerald Bothello, Luke Repko, Chris Breu, Julia Kreger, James Blair, Ildiko Vancsa",https://www.socallinuxexpo.org/scale/22x/presentations/openinfra-days-north-america-keynotes,Room 106,Everyone
Thursday,09:30,Fireside Chat: An Outsider’s Look at Nix,"Ron Efroni, Kelsey Hightower",https://www.socallinuxexpo.org/scale/22x/presentations/fireside-chat-outsider%E2%80%99s-look-nix,Room 101,PlanetNix
Thursday,10:00,Open Source for Good,"Cynthia Lo, Avni Khatri, Margaret Tucker",https://www.socallinuxexpo.org/scale/22x/presentations/open-source-good,Room 211,Everyone
Thursday,10:00,Embedded Programming Workshop Day 1,Steve Oualline,https://www.socallinuxexpo.org/scale/22x/presentations/embedded-programming-workshop-day-1,Room 209,Developer
Thursday,10:00,pAI-OS Workshop,Sam Johnston,https://www.socallinuxexpo.org/scale/22x/presentations/pai-os-workshop,Room 212,Kwaai Summit
Thursday,10:00,Power Editing with vi,Aleksey Tsalolikhin,https://www.socallinuxexpo.org/scale/22x/presentations/power-editing-vi,Room 208,Everyone
Thursday,10:00,SunSecCon Workshop: Cooking Cyber Recipes with CyberChef,Marco Palacios,https://www.socallinuxexpo.org/scale/22x/presentations/sunseccon-workshop-cooking-cyber-recipes-cyberchef,Room 105,SunSecCon
Thursday,10:00,Learn Nix the Fun Way,Farid Zakaria,https://www.socallinuxexpo.org/scale/22x/presentations/learn-nix-fun-way,Room 104,PlanetNix
Thursday,10:00,The Nix PR Pipeline,Tristan Ross,https://www.socallinuxexpo.org/scale/22x/presentations/nix-pr-pipeline,Room 101,PlanetNix
Thursday,10:00,A look at the Elephant's trunk - PostgreSQL 18,Magnus Hagander,https://www.socallinuxexpo.org/scale/22x/presentations/look-elephants-trunk-postgresql-18,Ballroom G,Intermediate
Thursday,10:00,Progressive Delivery with Argo Rollouts,"Ryan Jarvinen, Evan Shortiss, Christian Hernandez",https://www.socallinuxexpo.org/scale/22x/presentations/progressive-delivery-argo-rollouts,Ballroom B,Advanced
Thursday,10:00,Kubernetes For Sysadmins Workshop,Joe Thompson,https://www.socallinuxexpo.org/scale/22x/presentations/kubernetes-sysadmins-workshop,Ballroom A,Intermediate
Thursday,11:00,Getting Started With OpenStack,Amy Marrich,https://www.socallinuxexpo.org/scale/22x/presentations/getting-started-openstack,Room 107,Beginner
Thursday,11:00,Students in Open Source: The OpenInfra University Partnership Program Growth and Lessons Learned,"Kendall Nelson, Stephen Walli, Corey Leong",https://www.socallinuxexpo.org/scale/22x/presentations/students-open-source-openinfra-university-partnership-program-growth-and,Room 106,Beginner
Thursday,11:00,"generating secrets with nixos, the missing puzzle piece","Kenji Berthold, Lassulus .",https://www.socallinuxexpo.org/scale/22x/presentations/generating-secrets-nixos-missing-puzzle-piece,Room 104,PlanetNix
Thursday,11:00,"Docker Was Too Slow, So We Replaced It: Nix in Production",Aneesh Agrawal,https://www.socallinuxexpo.org/scale/22x/presentations/docker-was-too-slow-so-we-replaced-it-nix-production,Room 101,PlanetNix
Thursday,11:15,Language is a Virus: Locales and PostgreSQL,Christophe Pettus,https://www.socallinuxexpo.org/scale/22x/presentations/language-virus-locales-and-postgresql,Ballroom G,Developer
Thursday,11:30,Building and Supporting Open Source Communities Through Metrics: Reviewing OpenInfra Community Metrics,Georg Link,https://www.socallinuxexpo.org/scale/22x/presentations/building-and-supporting-open-source-communities-through-metrics-reviewing,Room 107,Advanced
Thursday,11:30,OpenStack in the Real World,Jay Faulkner,https://www.socallinuxexpo.org/scale/22x/presentations/openstack-real-world,Room 106,Everyone
Thursday,11:30,Building Linux from Scratch... from Nix,Tim Golden,https://www.socallinuxexpo.org/scale/22x/presentations/building-linux-scratch-nix,Room 104,PlanetNix
Thursday,11:30,How to make Nix five times faster,Nick Johnstone,https://www.socallinuxexpo.org/scale/22x/presentations/how-make-nix-five-times-faster,Room 101,PlanetNix
Thursday,12:00,Project Gating with Zuul,James Blair,https://www.socallinuxexpo.org/scale/22x/presentations/project-gating-zuul,Room 107,Everyone
Thursday,12:00,Knowing is Half the Battle: End to End Observability in OpenStack on Kubernetes,Jamie Parker,https://www.socallinuxexpo.org/scale/22x/presentations/knowing-half-battle-end-end-observability-openstack-kubernetes,Room 106,Everyone
Thursday,12:00,Welcome to Kwaai Summit,"Matthew Small, Reza Rassool",https://www.socallinuxexpo.org/scale/22x/presentations/welcome-kwaai-summit,Ballroom F,Kwaai Summit
Thursday,12:15,AI in Education: Amplified Intelligence through Games,Nolan Bushnell,https://www.socallinuxexpo.org/scale/22x/presentations/ai-education-amplified-intelligence-through-games,Ballroom F,Everyone
Thursday,12:30,Testing software defined storage on multiple architectures in a OpenStack environment,olaph wagoner,https://www.socallinuxexpo.org/scale/22x/presentations/testing-software-defined-storage-multiple-architectures-openstack,Room 107,Intermediate
Thursday,12:30,"Ironic, Neutron and OVN - current challenges","Michal Nasiadka, Bartosz Bezak",https://www.socallinuxexpo.org/scale/22x/presentations/ironic-neutron-and-ovn-current-challenges,Room 106,Everyone
Thursday,12:30,Bringing MongoDB workloads back to open source by using FerretDB to store data on PostgreSQL,Peter Farkas,https://www.socallinuxexpo.org/scale/22x/presentations/bringing-mongodb-workloads-back-open-source-using-ferretdb-store-data,Ballroom G,Beginner
Thursday,12:45,Trust in AI - Beware of Double Agents,Bruce Schneier,https://www.socallinuxexpo.org/scale/22x/presentations/trust-ai-beware-double-agents,Ballroom F,Kwaai Summit
Thursday,13:00,SunSecCon Workshop: OSINT for Cybersecurity and Hackers,"Sandra Stibbards, Lee McWhorter",https://www.socallinuxexpo.org/scale/22x/presentations/sunseccon-workshop-osint-cybersecurity-and-hackers,Room 105,SunSecCon
Thursday,13:00,The 5th Element: Operationalizing the Agentic Economy,Fay Arjomandi,https://www.socallinuxexpo.org/scale/22x/presentations/5th-element-operationalizing-agentic-economy,Ballroom F,Kwaai Summit
Thursday,13:15,Personal vs. Personalized AI,Doc Searls,https://www.socallinuxexpo.org/scale/22x/presentations/personal-vs-personalized-ai,Ballroom F,Everyone
Thursday,13:30,Introduction to the Module System,Daniel Baker,https://www.socallinuxexpo.org/scale/22x/presentations/introduction-module-system,Room 104,PlanetNix
Thursday,13:30,Nix in the Wild,Ross Turk,https://www.socallinuxexpo.org/scale/22x/presentations/nix-wild,Room 101,PlanetNix
Thursday,14:00,bpftrace hands on lab,"Jonathan Haslam, Jordan Rome, Daniel Xu",https://www.socallinuxexpo.org/scale/22x/presentations/bpftrace-hands-lab,Room 211,Everyone
Thursday,14:00,Fedora+CentOS Classroom,"Carl George, Shaun McCance, Jason Brooks",https://www.socallinuxexpo.org/scale/22x/presentations/fedoracentos-classroom,Room 208,Intermediate
Thursday,14:00,Using /opt/store,Thomas Bereknyei,https://www.socallinuxexpo.org/scale/22x/presentations/using-optstore,Room 101,PlanetNix
Thursday,14:00,Panel: AI Thought Leaders,"Doc Searls, Fay Arjomandi, Reza Rassool, Nolan Bushnell",https://www.socallinuxexpo.org/scale/22x/presentations/panel-ai-thought-leaders,Ballroom F,Everyone
Thursday,14:00,Developing as a Team for Kubernetes with Nix and Flox,"Leigh Capili, Tanja Ulianova, Nick Lewis",https://www.socallinuxexpo.org/scale/22x/presentations/developing-team-kubernetes-nix-and-flox,Ballroom B,Developer
Thursday,14:00,So you want to be a Kubestronaut,Paul Yu,https://www.socallinuxexpo.org/scale/22x/presentations/so-you-want-be-kubestronaut,Ballroom A,Everyone
Thursday,14:30,RDO openstack on OKD kubernetes: The perfect combination for modern enterprise datacenter,Maciej Lecki,https://www.socallinuxexpo.org/scale/22x/presentations/rdo-openstack-okd-kubernetes-perfect-combination-modern-enterprise,Room 107,Everyone
Thursday,14:30,CephFS and OpenStack Manila: File Sharing Without the Headaches (Mostly!),"Goutham Pacha Ravi, Carlos Eduardo da Silva, Ashley Rodriguez",https://www.socallinuxexpo.org/scale/22x/presentations/cephfs-and-openstack-manila-file-sharing-without-headaches-mostly,Room 106,Everyone
Thursday,14:30,Extend your PostgreSQL: The world of PostgreSQL extensions,Devrim Gunduz,https://www.socallinuxexpo.org/scale/22x/presentations/extend-your-postgresql-world-postgresql-extensions,Ballroom G,Everyone
Thursday,14:30,Companion Intelligence: Powered by your Digital Memory,Liam Broza,https://www.socallinuxexpo.org/scale/22x/presentations/companion-intelligence-powered-your-digital-memory,Ballroom F,Kwaai Summit
Thursday,14:45,Kwaai Personal AI Assistant Vision and Roadmap,Greg Spektor,https://www.socallinuxexpo.org/scale/22x/presentations/kwaai-personal-ai-assistant-vision-and-roadmap,Ballroom F,Kwaai Summit
Thursday,15:00,Kata Containers - Security and Containers Without Compromise,Ildiko Vancsa,https://www.socallinuxexpo.org/scale/22x/presentations/kata-containers-security-and-containers-without-compromise,Room 107,Beginner
Thursday,15:00,Scaling AI with Open Source: Running Models on CPUs and GPUs in VMs on OpenStack,Todd Robinson,https://www.socallinuxexpo.org/scale/22x/presentations/scaling-ai-open-source-running-models-cpus-and-gpus-vms-openstack,Room 106,Everyone
Thursday,15:00,Mastering NixOS Integration Tests: Advanced Techniques for Fast and Robust Multi-VM Tests,Jacek Galowicz,https://www.socallinuxexpo.org/scale/22x/presentations/mastering-nixos-integration-tests-advanced-techniques-fast-and-robust-multi,Room 104,PlanetNix
Thursday,15:00,Charming wild snakes with pyproject.nix & uv2nix,Adis Bladis,https://www.socallinuxexpo.org/scale/22x/presentations/charming-wild-snakes-pyprojectnix-uv2nix,Room 101,PlanetNix
Thursday,15:00,"pAI Hackathon for Emergency Preparedness, Response, and Recovery",Jon Conners,https://www.socallinuxexpo.org/scale/22x/presentations/pai-hackathon-emergency-preparedness-response-and-recovery,Ballroom F,Kwaai Summit
Thursday,15:30,Kata Container & LLM,Patrick BEAUCAMP,https://www.socallinuxexpo.org/scale/22x/presentations/kata-container-llm,Room 107,Everyone
Thursday,15:30,Sponsor Talk: Optimizing Your Platform Architecture for VMs in OpenStack and OpenShift,Sagy Volkov,https://www.socallinuxexpo.org/scale/22x/presentations/sponsor-talk-optimizing-your-platform-architecture-vms-openstack-and,Room 106,Everyone
Thursday,15:30,Nix is faster than no evaluation,Yannik Sander,https://www.socallinuxexpo.org/scale/22x/presentations/nix-faster-no-evaluation,Room 101,PlanetNix
Thursday,15:30,Graph/RAG Frameworks for Accurate Drug Side Effect Retrieval in Large Language Models,Diego Galeano,https://www.socallinuxexpo.org/scale/22x/presentations/graphrag-frameworks-accurate-drug-side-effect-retrieval-large-language,Ballroom F,Kwaai Summit
Thursday,15:45,Sponsor Talk: Pure Storage: Your OpenStack Storage Solution,Simon Dodsley,https://www.socallinuxexpo.org/scale/22x/presentations/sponsor-talk-pure-storage-your-openstack-storage-solution,Room 106,Everyone
Thursday,15:45,Keeping Your PostgreSQL Replication Healthy: Resolving Conflicts for Optimal Performance,Hamid Akhtar,https://www.socallinuxexpo.org/scale/22x/presentations/keeping-your-postgresql-replication-healthy-resolving-conflicts-optimal,Ballroom G,Everyone
Thursday,16:00,SunSecCon Workshop: Kubernetes Security - Hands-On Attack and Defense,Lenin Alevski,https://www.socallinuxexpo.org/scale/22x/presentations/sunseccon-workshop-kubernetes-security-hands-attack-and-defense,Room 105,SunSecCon
Thursday,16:00,Technical Learnings of Building Distributed and Decentralized AI,Brian Ragazzi,https://www.socallinuxexpo.org/scale/22x/presentations/technical-learnings-building-distributed-and-decentralized-ai,Ballroom F,Kwaai Summit
Thursday,16:30,Sponsor Talk: The Economics of Migrating from VMware to OpenStack,Ken Crandall,https://www.socallinuxexpo.org/scale/22x/presentations/sponsor-talk-economics-migrating-vmware-openstack,Room 107,Everyone
Thursday,16:30,Openstack edge cloud with SONiC VPP for high-speed and low-latency multi-cloud connectivity,"Tom Yin, Vivekanandan Muthukrishnan, Amby Nagarajan",https://www.socallinuxexpo.org/scale/22x/presentations/openstack-edge-cloud-sonic-vpp-high-speed-and-low-latency-multi-cloud,Room 106,Intermediate
Thursday,17:00,Preparing VMware Systems for OpenStack Migration,Kenneth Tan,https://www.socallinuxexpo.org/scale/22x/presentations/preparing-vmware-systems-openstack-migration,Room 107,Everyone
Thursday,17:00,Cloud Rationalization - Industry Trends to Hybrid Environments,Nathaniel Moore,https://www.socallinuxexpo.org/scale/22x/presentations/cloud-rationalization-industry-trends-hybrid-environments,Room 106,Everyone
Thursday,17:00,PostgreSQL Ask Me Anything,"Mark Wong, Stacey Haysler, Devrim Gunduz, Jimmy Angelakos, Magnus Hagander, Christophe Pettus",https://www.socallinuxexpo.org/scale/22x/presentations/postgresql-ask-me-anything,Ballroom G,Everyone
Thursday,17:00,Open Source Personal AI with pAI-OS,Sam Johnston,https://www.socallinuxexpo.org/scale/22x/presentations/open-source-personal-ai-pai-os,Ballroom F,Kwaai Summit
Thursday,17:30,Moving authentication from a single provider to all the socials!,Tony Breeds,https://www.socallinuxexpo.org/scale/22x/presentations/moving-authentication-single-provider-all-socials,Room 107,Developer
Thursday,17:30,O-RAN Lifecycle Management on OpenStack Tacker,"Yuya Kuno, Toshiaki Takahashi, Yasufumi Ogawa",https://www.socallinuxexpo.org/scale/22x/presentations/o-ran-lifecycle-management-openstack-tacker,Room 106,Intermediate
Thursday,17:30,Panel: AI Policy,Reza Rassool,https://www.socallinuxexpo.org/scale/22x/presentations/panel-ai-policy,Ballroom F,Kwaai Summit
Thursday,17:45,Closing Remarks,Reza Rassool,https://www.socallinuxexpo.org/scale/22x/presentations/closing-remarks,Ballroom F,Kwaai Summit
Friday,09:00,Ceph Storage: a Caffeinated Primer,"Federico Lucifredi, JC Lopez, Gregory Farnum",https://www.socallinuxexpo.org/scale/22x/presentations/ceph-storage-caffeinated-primer,Room 212,Intermediate
Friday,09:00,Managing Test Resources and Images with Zuul,James Blair,https://www.socallinuxexpo.org/scale/22x/presentations/managing-test-resources-and-images-zuul,Room 106,Intermediate
Friday,09:15,SunSecCon Keynote: From IC to Manager....and Then Doing It Again,Anthony Scheller,https://www.socallinuxexpo.org/scale/22x/presentations/sunseccon-keynote-ic-managerand-then-doing-it-again,Room 105,SunSecCon
Friday,09:30,Workshop - Intro to Nix,Matteo Fusi,https://www.socallinuxexpo.org/scale/22x/presentations/workshop-intro-nix,Room 104,PlanetNix
Friday,09:30,The future of OpenStack operators meetups and community,Chris Morgan,https://www.socallinuxexpo.org/scale/22x/presentations/future-openstack-operators-meetups-and-community,Room 106,Everyone
Friday,09:30,UbuCon Introduction,"Aaron Prisk, Jason Nucciarone",https://www.socallinuxexpo.org/scale/22x/presentations/ubucon-introduction,Room 103,Ubucon
Friday,09:30,Flox as a Guided Path for Nix,Michael Stahnke,https://www.socallinuxexpo.org/scale/22x/presentations/flox-guided-path-nix,Room 101,PlanetNix
Friday,10:00,The Cloud Has Made Us Reckless,Tim Banks,https://www.socallinuxexpo.org/scale/22x/presentations/cloud-has-made-us-reckless,Ballroom A,Everyone
Friday,10:00,Lessons learnt from Open-Source Implementation in the Mexican Government,Federico Gonzalez-Waite,https://www.socallinuxexpo.org/scale/22x/presentations/lessons-learnt-open-source-implementation-mexican-government,Ballroom C,Everyone
Friday,10:00,Standing on Code: Advancing Scientific Discovery Through Sustainable Software Practices,Alexandre Renchon,https://www.socallinuxexpo.org/scale/22x/presentations/standing-code-advancing-scientific-discovery-through-sustainable-software,Room 211,Everyone
Friday,10:00,Embedded Programming Workshop Day 2,Steve Oualline,https://www.socallinuxexpo.org/scale/22x/presentations/embedded-programming-workshop-day-2,Room 209,Developer
Friday,10:00,Seamless migration from VMware to OpenStack using vJailbreak tool,"Pooja Ghumre, Chris Jones",https://www.socallinuxexpo.org/scale/22x/presentations/seamless-migration-vmware-openstack-using-vjailbreak-tool,Room 106,Everyone
Friday,10:00,Adversarial Intelligence: Redefining Application Security through the eyes of an attacker,Roy Talyosef,https://www.socallinuxexpo.org/scale/22x/presentations/adversarial-intelligence-redefining-application-security-through-eyes,Room 105,SunSecCon
Friday,10:00,Simplify Your Data Science Workflow on Ubuntu with Canonical’s Data Science Stack,Ken VanDine,https://www.socallinuxexpo.org/scale/22x/presentations/simplify-your-data-science-workflow-ubuntu-canonical%E2%80%99s-data-science-stack,Room 103,Ubucon
Friday,10:00,Adventures in Mesh Networking at DEF CON with NixOS,Morgan Jones,https://www.socallinuxexpo.org/scale/22x/presentations/adventures-mesh-networking-def-con-nixos,Room 101,PlanetNix
Friday,10:00,Boosting MySQL with Vector Search: Introducing the MyVector Plugin,Alkin Tezuysal,https://www.socallinuxexpo.org/scale/22x/presentations/boosting-mysql-vector-search-introducing-myvector-plugin,Ballroom H,Advanced
Friday,10:00,Take your pgBadger usage to the next level!,Henrietta Dombrovskaya,https://www.socallinuxexpo.org/scale/22x/presentations/take-your-pgbadger-usage-next-level,Ballroom G,Everyone
Friday,10:00,LLMs with Your Data in Your Applications,Matt Ingenthron,https://www.socallinuxexpo.org/scale/22x/presentations/llms-your-data-your-applications,Ballroom F,Developer
Friday,10:00,What's an Anthropologist doing in Meta's Infrastructure?,Kathryn Casey Bouskill,https://www.socallinuxexpo.org/scale/22x/presentations/whats-anthropologist-doing-metas-infrastructure,Ballroom DE,Everyone
Friday,10:00,A Hitchhikers Guide to the CNCF Landscape,"Lori Lorusso, Katherine Druckman",https://www.socallinuxexpo.org/scale/22x/presentations/hitchhikers-guide-cncf-landscape,Ballroom B,Everyone
Friday,10:30,"Sponsor Talk: How to Simplify and Accelerate VMware Migration to OpenStack using Universal Backup, Recovery and Migration Solution",DJ MIN,https://www.socallinuxexpo.org/scale/22x/presentations/sponsor-talk-how-simplify-and-accelerate-vmware-migration-openstack-using,Room 106,Everyone
Friday,10:30,Building a Chromebook replacement with NixOS,Mike Kelly,https://www.socallinuxexpo.org/scale/22x/presentations/building-chromebook-replacement-nixos,Room 101,PlanetNix
Friday,11:00,Kolla User Forum,Michal Nasiadka,https://www.socallinuxexpo.org/scale/22x/presentations/kolla-user-forum,Room 212,Everyone
Friday,11:00,AI Agents in a Semi-Autonomous Security Operations Center (SOC),Keyur Rajyaguru,https://www.socallinuxexpo.org/scale/22x/presentations/ai-agents-semi-autonomous-security-operations-center-soc,Room 105,SunSecCon
