Day,Time,Title,Speaker,URL,Room,Topic
Friday,11:00,Build your own microcloud,Miona Aleksic,https://www.socallinuxexpo.org/scale/22x/presentations/build-your-own-microcloud,Room 103,Ubucon
Friday,11:00,"A Sustainable Nix, State of the Union",Ron Efroni,https://www.socallinuxexpo.org/scale/22x/presentations/sustainable-nix-state-union,Room 101,PlanetNix
Friday,11:00,"Turning Incidents into Insights, Not Insults",Heather Osborn,https://www.socallinuxexpo.org/scale/22x/presentations/turning-incidents-insights-not-insults,Ballroom DE,Everyone
Friday,11:15,The Open Source Universe of Numerical Relativity,Erik Wessel,https://www.socallinuxexpo.org/scale/22x/presentations/open-source-universe-numerical-relativity,Room 211,Everyone
Friday,11:15,CattleSpa: automated healing of your cloud infrastructure,"Carmen Mason, Allan Mason",https://www.socallinuxexpo.org/scale/22x/presentations/cattlespa-automated-healing-your-cloud-infrastructure,Ballroom H,Intermediate
Friday,11:15,"What's our Vector, Victor?",Shaun Thomas,https://www.socallinuxexpo.org/scale/22x/presentations/whats-our-vector-victor,Ballroom G,Intermediate
Friday,11:15,"Next-Generation Prompt Engineering: Building Scalable, Cost-Efficient AI Applications for Multi-Model and Open-Source Environments",Masahji Stewart,https://www.socallinuxexpo.org/scale/22x/presentations/next-generation-prompt-engineering-building-scalable-cost-efficient-ai,Ballroom F,Developer
Friday,11:15,Digital Citizen Participation - Success Factors and Challenges,Simon Strohmenger,https://www.socallinuxexpo.org/scale/22x/presentations/digital-citizen-participation-success-factors-and-challenges,Ballroom C,Everyone
Friday,11:15,"Develop, Test, and Deploy with Podman Desktop",Josh Berkus,https://www.socallinuxexpo.org/scale/22x/presentations/develop-test-and-deploy-podman-desktop,Ballroom B,Developer
Friday,11:15,Going All-in on Gateway API - Replacing Ingresses and Enhancing a Service Mesh,Gene Liverman,https://www.socallinuxexpo.org/scale/22x/presentations/going-all-gateway-api-replacing-ingresses-and-enhancing-service-mesh,Ballroom A,Intermediate
Friday,11:30,"Python on Nix? Yes, it is possible!",Matteo Fusi,https://www.socallinuxexpo.org/scale/22x/presentations/python-nix-yes-it-possible,Room 104,PlanetNix
Friday,11:30,Remote Nix Builds,Rickard Nilsson,https://www.socallinuxexpo.org/scale/22x/presentations/remote-nix-builds,Room 101,PlanetNix
Friday,12:30,How DIY Robotics Can Help With Environmental Science,Travis Hughes,https://www.socallinuxexpo.org/scale/22x/presentations/how-diy-robotics-can-help-environmental-science,Room 211,Beginner
Friday,12:30,Hidden Gems in MySQL Shell,Scott Stroz,https://www.socallinuxexpo.org/scale/22x/presentations/hidden-gems-mysql-shell,Ballroom H,Everyone
Friday,12:30,Anatomy of Table-Level Locks in PostgreSQL,"Gulcin YildirimJelinek, Andrew Farries",https://www.socallinuxexpo.org/scale/22x/presentations/anatomy-table-level-locks-postgresql,Ballroom G,Everyone
Friday,12:30,Harnessing Open Source Solutions in the Generative AI Landscape,james healy,https://www.socallinuxexpo.org/scale/22x/presentations/harnessing-open-source-solutions-generative-ai-landscape,Ballroom F,Intermediate
Friday,12:30,Building a Network of Open Source Program Offices at the University of California,"Stephanie Lieggi, Tim Dennis",https://www.socallinuxexpo.org/scale/22x/presentations/building-network-open-source-program-offices-university-california,Ballroom C,Everyone
Friday,12:30,Getting started with OpenTelemetry,Shirley Wang,https://www.socallinuxexpo.org/scale/22x/presentations/getting-started-opentelemetry,Ballroom B,Beginner
Friday,12:30,Kubernetes and the Dragons in Linux Kernel vs. Userspace Tools,Jussi Nummelin,https://www.socallinuxexpo.org/scale/22x/presentations/kubernetes-and-dragons-linux-kernel-vs-userspace-tools,Ballroom A,Everyone
Friday,13:00,OpenInfra Leadership Meet and Greet,"Amy Marrich, Julia Kreger, Jonathan Bryce, Mark Collier",https://www.socallinuxexpo.org/scale/22x/presentations/openinfra-leadership-meet-and-greet,Room 212,Everyone
Friday,13:00,Automated secure mobile code reviews using Danger,Saurabh Sharma,https://www.socallinuxexpo.org/scale/22x/presentations/automated-secure-mobile-code-reviews-using-danger,Room 105,SunSecCon
Friday,13:00,Live Ask Noah Show,Noah Chelliah,https://www.socallinuxexpo.org/scale/22x/presentations/live-ask-noah-show,Room 103,Ubucon
Friday,13:30,VALKEY 101 - A Superfast in-memory database,Dave Stokes,https://www.socallinuxexpo.org/scale/22x/presentations/valkey-101-superfast-memory-database,Room 106,Developer
Friday,13:30,Evaluating the Nix Evaluator: Why Nix Performance Sometimes... Doesn't,Connor Baker,https://www.socallinuxexpo.org/scale/22x/presentations/evaluating-nix-evaluator-why-nix-performance-sometimes-doesnt,Room 104,PlanetNix
Friday,13:30,Tvix store in production,Victor Fuentes,https://www.socallinuxexpo.org/scale/22x/presentations/tvix-store-production,Room 101,PlanetNix
Friday,13:30,DevEx as a Strategic Asset: Linking Developer Success into Business Outcomes,Sara Huddleston,https://www.socallinuxexpo.org/scale/22x/presentations/devex-strategic-asset-linking-developer-success-business-outcomes,Ballroom DE,Everyone
Friday,13:45,Platform Engineers as Product Managers: 10x Your Developer Experience,Justin Reock,https://www.socallinuxexpo.org/scale/22x/presentations/platform-engineers-product-managers-10x-your-developer-experience,Ballroom DE,Everyone
Friday,14:00,From Zero to Code: A Hands-On Guide to Making Your First OpenStack Code Contribution,"Carlos Eduardo da Silva, Goutham Pacha Ravi, Ashley Rodriguez",https://www.socallinuxexpo.org/scale/22x/presentations/zero-code-hands-guide-making-your-first-openstack-code-contribution,Room 212,Developer
Friday,14:00,Cloud Rebalance,"Sukesh Behera, Jimmy McCrory",https://www.socallinuxexpo.org/scale/22x/presentations/cloud-rebalance,Room 106,Everyone
Friday,14:00,Data Breaches and Dark Secrets: The Corporate Side,Andrew Amaro,https://www.socallinuxexpo.org/scale/22x/presentations/data-breaches-and-dark-secrets-corporate-side,Room 105,SunSecCon
Friday,14:00,Sandstone: Fast incremental Haskell builds using dynamic derivations,John Ericson,https://www.socallinuxexpo.org/scale/22x/presentations/sandstone-fast-incremental-haskell-builds-using-dynamic-derivations,Room 104,PlanetNix
Friday,14:00,Automatically orchestrate your application with Juju,Alastair Flynn,https://www.socallinuxexpo.org/scale/22x/presentations/automatically-orchestrate-your-application-juju,Room 103,Ubucon
Friday,14:00,Configurable Flakes,Eelco Dolstra,https://www.socallinuxexpo.org/scale/22x/presentations/configurable-flakes,Room 101,PlanetNix
Friday,14:00,"How did it come to this?  Untangling SA, Dev(*)Ops, SRE, and PE",Ben Rockwood,https://www.socallinuxexpo.org/scale/22x/presentations/how-did-it-come-untangling-sa-devops-sre-and-pe,Ballroom DE,Everyone
Friday,14:30,"AI, Cloud Computing, and Software Engineering Concepts in Seismology",Ryan Tam,https://www.socallinuxexpo.org/scale/22x/presentations/ai-cloud-computing-and-software-engineering-concepts-seismology,Room 211,Everyone
Friday,14:30,From VMware to OpenStack: Redefining the Virtualization Landscape with Open Source Software,"Jimmy McArthur, Ken Crandall, DJ MIN",https://www.socallinuxexpo.org/scale/22x/presentations/vmware-openstack-redefining-virtualization-landscape-open-source-software,Room 106,Everyone
Friday,14:30,Leveling up your MySQL Skills,Syed Usman Ahmad,https://www.socallinuxexpo.org/scale/22x/presentations/leveling-your-mysql-skills,Ballroom H,Intermediate
Friday,14:30,9.2 to 15 and beyond,Nick Meyer,https://www.socallinuxexpo.org/scale/22x/presentations/92-15-and-beyond,Ballroom G,Intermediate
Friday,14:30,Evaluating the Effectiveness of Retrieval Augmented Generation (RAG) in Real-World Applications,Nithish Raghunandanan,https://www.socallinuxexpo.org/scale/22x/presentations/evaluating-effectiveness-retrieval-augmented-generation-rag-real-world,Ballroom F,Intermediate
Friday,14:30,How LA Metro is using Open Data to prepare for the 2028 Olympics and Paralympics,Monica Waggoner,https://www.socallinuxexpo.org/scale/22x/presentations/how-la-metro-using-open-data-prepare-2028-olympics-and-paralympics,Ballroom C,Everyone
Friday,14:30,Bringing joy to Kubernetes Deployments,"Murriel Perez McCabe, Elizabeth Ponce",https://www.socallinuxexpo.org/scale/22x/presentations/bringing-joy-kubernetes-deployments,Ballroom B,Beginner
Friday,14:30,When Things Go Sideways: Troubleshooting the OTel Operator,"Adriana Villela, Reese Lee",https://www.socallinuxexpo.org/scale/22x/presentations/when-things-go-sideways-troubleshooting-otel-operator,Ballroom A,Advanced
Friday,15:00,Exposed Detection Rules: What’s Next for Defenders?,Kennedy Toomey,https://www.socallinuxexpo.org/scale/22x/presentations/exposed-detection-rules-what%E2%80%99s-next-defenders,Room 105,SunSecCon
Friday,15:00,Charmed HPC on OpenStack Sunbeam,Jason Nucciarone,https://www.socallinuxexpo.org/scale/22x/presentations/charmed-hpc-openstack-sunbeam,Room 103,Ubucon
Friday,15:00,Firewalls and Friendships: Building a Balanced Professional Network,Annie Hedgpeth,https://www.socallinuxexpo.org/scale/22x/presentations/firewalls-and-friendships-building-balanced-professional-network,Ballroom DE,Everyone
Friday,15:15,Sponsor Talk: Jetstream2: Democratizing Cloud Computing for U.S. Research,Julian Pistorius,https://www.socallinuxexpo.org/scale/22x/presentations/sponsor-talk-jetstream2-democratizing-cloud-computing-us-research,Room 106,Everyone
Friday,15:30,OpenStack Scientific SIG Meeting,Martial Michel,https://www.socallinuxexpo.org/scale/22x/presentations/openstack-scientific-sig-meeting,Room 212,Everyone
Friday,15:30,"OpenStack as a Catalyst for Innovation, Resilience, and Cost Efficiency",Francisco Araya,https://www.socallinuxexpo.org/scale/22x/presentations/openstack-catalyst-innovation-resilience-and-cost-efficiency,Room 106,Everyone
Friday,15:45,Training Multi-Modal ML Classification Models for Real-Time Detection of Debilitating Disease,"Nikki-Rae Alkema, David vonThenen",https://www.socallinuxexpo.org/scale/22x/presentations/training-multi-modal-ml-classification-models-real-time-detection,Room 211,Intermediate
Friday,15:45,Lessons learned when managing MySQL in the cloud,Igor Donchovski,https://www.socallinuxexpo.org/scale/22x/presentations/lessons-learned-when-managing-mysql-cloud,Ballroom H,Beginner
Friday,15:45,Row-Level Security sucks. Can we make it usable?,Jimmy Angelakos,https://www.socallinuxexpo.org/scale/22x/presentations/row-level-security-sucks-can-we-make-it-usable,Ballroom G,Intermediate
Friday,15:45,Computer Vision in Your Pocket: Exploring Phone Photos with Embeddings,Steve Pousty,https://www.socallinuxexpo.org/scale/22x/presentations/computer-vision-your-pocket-exploring-phone-photos-embeddings,Ballroom F,Beginner
Friday,15:45,Strengthening Vulnerability Management in Cloud Development Environments,Rob Fletcher,https://www.socallinuxexpo.org/scale/22x/presentations/strengthening-vulnerability-management-cloud-development-environments,Ballroom DE,Everyone
Friday,15:45,Technopolitics: Public Digital Infrastructure for Democracy with Decidim,Guillaume Saunier,https://www.socallinuxexpo.org/scale/22x/presentations/technopolitics-public-digital-infrastructure-democracy-decidim,Ballroom C,Everyone
Friday,15:45,Many Ways of Building Containers: From Manual to Transparently Built On-Demand Containers.,Kyle Quest,https://www.socallinuxexpo.org/scale/22x/presentations/many-ways-building-containers-manual-transparently-built-demand-containers,Ballroom B,Beginner
Friday,15:45,JWT it like its hot!!,Paul Yu,https://www.socallinuxexpo.org/scale/22x/presentations/jwt-it-its-hot,Ballroom A,Everyone
Friday,16:00,Forum - Ironic - Something Something Cloud Native Dark Side,Julia Kreger,https://www.socallinuxexpo.org/scale/22x/presentations/forum-ironic-something-something-cloud-native-dark-side,Room 212,Everyone
Friday,16:00,Leveraging OpenInfra and Open Source GenAI to Address Climate Change,Armstrong Foundjem,https://www.socallinuxexpo.org/scale/22x/presentations/leveraging-openinfra-and-open-source-genai-address-climate-change,Room 106,Everyone
Friday,16:00,How To Write A Vulnerability Disclosure,Max vonBlankenburg,https://www.socallinuxexpo.org/scale/22x/presentations/how-write-vulnerability-disclosure,Room 105,SunSecCon
Friday,16:00,Entra ID authentication on Ubuntu Desktop at scale with Landscape,"Ken VanDine, Rajan Patel",https://www.socallinuxexpo.org/scale/22x/presentations/entra-id-authentication-ubuntu-desktop-scale-landscape,Room 103,Ubucon
Friday,16:00,Mastering Incident Communication,kat gaines,https://www.socallinuxexpo.org/scale/22x/presentations/mastering-incident-communication,Ballroom DE,Everyone
Friday,17:00,Infrastructure as Code 3 Ways,"Adriana Villela, Ana Margarita Medina",https://www.socallinuxexpo.org/scale/22x/presentations/infrastructure-code-3-ways,Ballroom B,Beginner
Friday,17:00,How Not to Go Bankrupt (and Look Foolish): Mastering Transactions in MySQL,Mikaël Francoeur,https://www.socallinuxexpo.org/scale/22x/presentations/how-not-go-bankrupt-and-look-foolish-mastering-transactions-mysql,Ballroom H,Developer
Friday,17:00,CliMA: A New Open Source Code for Climate Modeling,Julia Sloan,https://www.socallinuxexpo.org/scale/22x/presentations/clima-new-open-source-code-climate-modeling,Room 211,Everyone
Friday,17:00,Unleashing AI with OpenInfra: The Future of Open Source in Artificial Intelligence,"Allison Price, Armstrong Foundjem, Todd Robinson, Kevin Carter",https://www.socallinuxexpo.org/scale/22x/presentations/unleashing-ai-openinfra-future-open-source-artificial-intelligence,Room 106,OpenInfra Days
Friday,17:00,That One Time the Threat Actor Sent Me His Token,Andy Giron,https://www.socallinuxexpo.org/scale/22x/presentations/one-time-threat-actor-sent-me-his-token,Room 105,SunSecCon
Friday,17:00,Ubuntu Q&A and Closing Remarks,"Nathan Haines, Richard Gaskin",https://www.socallinuxexpo.org/scale/22x/presentations/ubuntu-qa-and-closing-remarks,Room 103,Ubucon
Friday,17:00,Understanding PostgreSQL for the MySQL Developer and DBA,Colin Charles,https://www.socallinuxexpo.org/scale/22x/presentations/understanding-postgresql-mysql-developer-and-dba,Ballroom G,Everyone
Friday,17:00,Is Vector Search Right for Me?,Nuri Halperin,https://www.socallinuxexpo.org/scale/22x/presentations/vector-search-right-me,Ballroom F,Intermediate
Friday,17:00,Adding API Security to your DevSecOps Toolbelt,Scott Bly,https://www.socallinuxexpo.org/scale/22x/presentations/adding-api-security-your-devsecops-toolbelt,Ballroom DE,Everyone
Friday,17:00,Panel: Public tech stacks that work for all,"Chach Sikes, Nina Kin, Esther Sportello",https://www.socallinuxexpo.org/scale/22x/presentations/panel-public-tech-stacks-work-all,Ballroom C,Everyone
Friday,17:00,"To accrue additional technical debt, turn to page 52! A choose-your-own-adventure system design case study.","Amber Salome, Éamon Ryan",https://www.socallinuxexpo.org/scale/22x/presentations/accrue-additional-technical-debt-turn-page-52-choose-your-own-adventure,Ballroom A,Everyone
Friday,18:30,UpSCALE,Hannah Anderson,https://www.socallinuxexpo.org/scale/22x/presentations/upscale,Ballroom DE,UpSCALE
Saturday,09:30,Linux Training Class - Day 1,Tom King,https://www.socallinuxexpo.org/scale/22x/presentations/linux-training-class-day-1,Room 208,Workshops
Saturday,10:00,Robots building Robots,Solomon Hykes,https://www.socallinuxexpo.org/scale/22x/presentations/robots-building-robots,Ballroom DE,Keynote
Saturday,11:15,Scalable and Low Latency Lock-free Data Structures,Alexander Krizhanovsky,https://www.socallinuxexpo.org/scale/22x/presentations/scalable-and-low-latency-lock-free-data-structures,Room 211,Advanced
Saturday,11:15,Observability at Tigris Data,Peter Boros,https://www.socallinuxexpo.org/scale/22x/presentations/observability-tigris-data,Room 107,Everyone
Saturday,11:15,Gotchas of Everyday Systemd,Anita Zhang,https://www.socallinuxexpo.org/scale/22x/presentations/gotchas-everyday-systemd,Room 106,Developer
Saturday,11:15,Baking a TuringPi in the Home Lab,Matthew Sanabria,https://www.socallinuxexpo.org/scale/22x/presentations/baking-turingpi-home-lab,Room 105,Everyone
Saturday,11:15,Making Linux From Scratch,August Cho,https://www.socallinuxexpo.org/scale/22x/presentations/making-linux-scratch,Room 103,Beginner
Saturday,11:15,Shining Light on the Open Source Supply Chain: The Risk in Community Health,Georg Link,https://www.socallinuxexpo.org/scale/22x/presentations/shining-light-open-source-supply-chain-risk-community-health,Room 101,Advanced
Saturday,11:15,Source Available is Thriving but Open Source is Dying,Hazel Weakly,https://www.socallinuxexpo.org/scale/22x/presentations/source-available-thriving-open-source-dying,Ballroom H,Everyone
Saturday,11:15,How to do Everything in a Terminal,Jared Bernard,https://www.socallinuxexpo.org/scale/22x/presentations/how-do-everything-terminal,Ballroom G,Everyone
Saturday,11:15,Enhancing Occupational Classification and Seniority Prediction from Job Descriptions Using Open-Source Tools and Embedding Techniques,Sinan Kefeli,https://www.socallinuxexpo.org/scale/22x/presentations/enhancing-occupational-classification-and-seniority-prediction-job,Ballroom F,Intermediate
Saturday,11:15,Evolving a DSL: How bpftrace makes language design decisions,Jordan Rome,https://www.socallinuxexpo.org/scale/22x/presentations/evolving-dsl-how-bpftrace-makes-language-design-decisions,Ballroom C,Developer
Saturday,11:15,GitOps best practices using Argo CD,"Justin Marquis, Christian Hernandez",https://www.socallinuxexpo.org/scale/22x/presentations/gitops-best-practices-using-argo-cd,Ballroom B,Everyone
Saturday,11:15,Rethinking the Container Layer with Nix,"Leigh Capili, Tom Bereknyei",https://www.socallinuxexpo.org/scale/22x/presentations/rethinking-container-layer-nix,Ballroom A,Intermediate
Saturday,12:15,Smarter Ways to Stay Safe Online by Building Better Passwords,Andrew Lim,https://www.socallinuxexpo.org/scale/22x/presentations/smarter-ways-stay-safe-online-building-better-passwords,Room 103,Everyone
Saturday,12:30,APIs for the Modern World,Addison Hart,https://www.socallinuxexpo.org/scale/22x/presentations/apis-modern-world,Room 211,Beginner
Saturday,12:30,Profiling and beyond: scaling observability with Fluent Bit and eBPF,Eduardo Silva,https://www.socallinuxexpo.org/scale/22x/presentations/profiling-and-beyond-scaling-observability-fluent-bit-and-ebpf,Room 107,Everyone
Saturday,12:30,Advanced SRE: Networking,Patrick Shuff,https://www.socallinuxexpo.org/scale/22x/presentations/advanced-sre-networking,Room 106,Advanced
Saturday,12:30,Are we really making the most of our smart home technology?,Joyce Lin,https://www.socallinuxexpo.org/scale/22x/presentations/are-we-really-making-most-our-smart-home-technology,Room 105,Everyone
